task_id,title,description,assigned_to,status,priority,project,client,task_type,created_date,due_date,estimated_hours,tags,notes
TASK-1089,Update team on progress,Update team on progress,Tom Anderson,Done,P3,Infrastructure Upgrade,TechStart Inc,Code Review,2024-09-19,2024-11-13,8,needs-review,Discussed with Sarah Chen on 07/10
TASK-1034,Review and update Mobile App Launch documentation,Review and update Mobile App Launch documentation,Sarah Chen,Blocked,high,Mobile App Launch,FinanceHub,Meeting Follow-up,2024-09-24,2024-11-08,2,blocked,Low priority - can wait until next sprint
TASK-1108,Fix production issue,Fix production issue,Rachel Brown,Waiting for Input,High,API Integration,,Bug Fix,2024-09-15,02/11/2024,3,,URGENT - deadline moved up
TASK-1075,Complete Bug Fix for API Integration by EOW,Complete Bug Fix for API Integration by EOW,unassigned,Review,Low,API Integration,Manufacturing Ltd,Bug Fix,2024-09-22,,40,urgent,Waiting for response from Premier Healthcare
TASK-1125,Prepare demo for Global Solutions,Prepare demo for Global Solutions,David Kim,Done,P2,Q4 Planning,Global Solutions,Strategic Planning,2024-09-16,04/11/2024,8,client-facing,Blocked by Q4 Planning deployment
TASK-1092,Draft proposal for FinanceHub,Draft proposal for FinanceHub,Ahmed Hassan,Blocked,Critical,Security Audit,FinanceHub,Code Review,2024-09-18,2024-11-10,40,technical,Requires coordination with Marcus Johnson
TASK-1055,Review and update Client Portal Redesign documentation,Review and update Client Portal Redesign documentation,David Kim,Waiting for Input,Urgent,Client Portal Redesign,EduTech Partners,Support Ticket,2024-09-28,2024-11-18,5,feature,Blocked by  deployment
TASK-1047,Fix bug in Mobile App Launch - Documentation,Fix bug in Mobile App Launch - Documentation,Priya Patel,In Progress,High,Mobile App Launch,Global Solutions,Documentation,2024-09-24,2024-11-18,24,technical,Low priority - can wait until next sprint
TASK-1142,Complete Meeting Follow-up for Training Program by EOW,Complete Meeting Follow-up for Training Program by EOW,Tom Anderson,Blocked,P3,Training Program,Manufacturing Ltd,Meeting Follow-up,2024-09-14,2024-10-29,1.5,,Discussed with Marcus Johnson on 07/10
TASK-1139,Urgent: TechStart Inc escalation - Feature Development,Urgent: TechStart Inc escalation - Feature Development,James Wilson,Review,URGENT,Data Migration,TechStart Inc,Feature Development,2024-09-12,2024-10-14,4,blocked,Dependencies: check with Lisa Zhang first
